Appointment added on 2020-04-24 15:08:35.709
Appointment changed on 2020-04-24 15:15:32.841
Appointment deleted on 2020-04-24 15:19:16.432
Prescription added on 2020-04-24 15:20:00.954
Appointment changed on 2020-04-24 15:30:02.521
Appointment changed on 2020-04-24 15:30:19.508
Appointment changed on 2020-04-24 15:32:39.847
Appointment added on 2020-04-24 15:35:51.394
Appointment added on 2020-04-24 15:39:05.714
Appointment added on 2020-04-24 15:44:36.985
Appointment added on 2020-04-24 15:48:05.016
Appointment added on 2020-04-24 15:53:56.74
Appointment added on 2020-04-24 15:56:07.646
Appointment changed on 2020-04-24 15:56:49.64
Appointment added on 2020-04-24 15:57:29.197
Appointment added on 2020-04-24 15:59:21.347
Appointment added on 2020-04-24 16:01:08.459
Appointment added on 2020-04-24 16:05:16.766
Appointment added on 2020-04-24 16:10:58.986
Appointment added on 2020-04-24 16:12:58.763
Appointment added on 2020-04-24 16:13:20.252
Appointment added on 2020-04-24 16:13:53.325
Appointment changed on 2020-04-24 16:14:19.335
Appointment deleted on 2020-04-24 16:14:48.228
Appointment added on 2020-04-24 16:15:05.45
Appointment changed on 2020-04-24 16:16:44.019
Appointment added on 2020-04-24 16:16:57.522
Appointment added on 2020-04-24 16:18:25.935
Appointment added on 2020-04-24 16:19:10.686
Appointment changed on 2020-04-24 16:19:28.159
Appointment added on 2020-04-24 16:19:41.912
Appointment added on 2020-04-24 16:21:39.581
Appointment added on 2020-04-24 16:23:42.743
Appointment changed on 2020-04-24 16:24:19.252
Appointment added on 2020-04-24 16:24:47.898
Appointment added on 2020-04-24 16:25:07.371
Appointment deleted on 2020-04-24 16:25:39.271
Appointment added on 2020-04-24 16:25:55.634
